CLUSTER_1,1,3,3,0.3333333333333333,3,1.0,0.0
CLUSTER_10,1,10,10000,0.1,3,1.0,1.0
CLUSTER_100,2,18,0,0.1111111111111111,3,0.3333333333333333,1.0
CLUSTER_101,1,20,12,0.05,3,1.0,1.0
CLUSTER_102,2,13,0,0.15384615384615385,3,0.5,0.5
CLUSTER_103,2,13,4,0.15384615384615385,3,0.5,0.5
CLUSTER_104,4,8,6,0.5,3,0.25,0.75
CLUSTER_105,1,13,10000,0.07692307692307693,3,1.0,1.0
CLUSTER_106,1,32,9,0.03125,3,1.0,1.0
CLUSTER_107,1,2,10000,0.5,3,1.0,1.0
CLUSTER_108,1,18,11,0.05555555555555555,3,1.0,0.0
CLUSTER_109,1,2,11,0.5,4,0.5,0.0
CLUSTER_11,2,13,8,0.15384615384615385,3,0.3333333333333333,1.0
CLUSTER_110,2,5,10,0.4,4,0.5,1.0
CLUSTER_111,1,13,13,0.07692307692307693,3,1.0,0.0
CLUSTER_112,1,5,3,0.2,3,1.0,1.0
CLUSTER_113,1,14,10000,0.07142857142857142,3,1.0,1.0
CLUSTER_114,1,17,8,0.058823529411764705,3,1.0,1.0
CLUSTER_115,1,2,0,0.5,3,1.0,1.0
CLUSTER_116,1,8,10,0.125,3,1.0,0.0
CLUSTER_117,1,17,12,0.058823529411764705,3,0.5,1.0
CLUSTER_118,3,14,12,0.21428571428571427,4,0.3333333333333333,1.0
CLUSTER_119,1,4,7,0.25,3,1.0,1.0
CLUSTER_12,2,13,6,0.15384615384615385,3,0.3333333333333333,0.6666666666666666
CLUSTER_120,2,26,12,0.07692307692307693,3,0.5,0.5
CLUSTER_121,1,28,4,0.03571428571428571,3,1.0,1.0
CLUSTER_122,1,37,3,0.02702702702702703,3,1.0,1.0
CLUSTER_123,2,13,9,0.15384615384615385,3,0.5,1.0
CLUSTER_124,2,64,7,0.03125,3,0.5,1.0
CLUSTER_125,5,19,3,0.2631578947368421,3,0.6,0.9
CLUSTER_126,1,4,9,0.25,3,1.0,0.0
CLUSTER_127,1,2,13,0.5,4,1.0,1.0
CLUSTER_128,1,11,2,0.09090909090909091,3,1.0,1.0
CLUSTER_129,1,9,11,0.1111111111111111,3,1.0,1.0
CLUSTER_13,1,1,4,1.0,4,1.0,1.0
CLUSTER_130,1,51,5,0.0196078431372549,3,1.0,1.0
CLUSTER_131,1,5,2,0.2,3,1.0,1.0
CLUSTER_132,2,15,5,0.13333333333333333,3,0.75,1.0
CLUSTER_133,1,2,10000,0.5,3,1.0,1.0
CLUSTER_134,1,12,4,0.08333333333333333,3,1.0,1.0
CLUSTER_135,1,2,0,0.5,3,0.5,1.0
CLUSTER_136,1,1,3,1.0,3,1.0,1.0
CLUSTER_137,1,12,9,0.08333333333333333,4,1.0,1.0
CLUSTER_138,1,7,10,0.14285714285714285,4,1.0,1.0
CLUSTER_139,1,12,6,0.08333333333333333,3,1.0,1.0
CLUSTER_14,2,8,2,0.25,3,0.5,1.0
CLUSTER_140,1,12,1,0.08333333333333333,3,1.0,1.0
CLUSTER_141,1,1,7,1.0,3,0.3333333333333333,0.6666666666666666
CLUSTER_142,1,5,5,0.2,4,1.0,1.0
CLUSTER_143,1,3,7,0.3333333333333333,3,1.0,0.0
CLUSTER_144,1,11,5,0.09090909090909091,3,1.0,1.0
CLUSTER_145,1,28,10,0.03571428571428571,3,1.0,1.0
CLUSTER_146,1,13,9,0.07692307692307693,3,1.0,1.0
CLUSTER_147,2,12,2,0.16666666666666666,3,0.5,0.5
CLUSTER_148,1,55,4,0.01818181818181818,3,1.0,1.0
CLUSTER_149,1,5,4,0.2,3,1.0,0.0
CLUSTER_15,3,7,7,0.42857142857142855,3,0.25,0.75
CLUSTER_150,2,12,6,0.16666666666666666,3,0.5,0.5
CLUSTER_151,1,11,5,0.09090909090909091,3,0.5,0.5
CLUSTER_152,2,2,4,1.0,3,0.25,0.75
CLUSTER_153,1,1,8,1.0,3,1.0,1.0
CLUSTER_154,1,82,11,0.012195121951219513,3,1.0,1.0
CLUSTER_155,1,18,8,0.05555555555555555,3,1.0,1.0
CLUSTER_156,2,301,6,0.006644518272425249,3,0.5,1.0
CLUSTER_157,1,35,3,0.02857142857142857,3,1.0,1.0
CLUSTER_158,2,26,1,0.07692307692307693,3,0.3333333333333333,1.0
CLUSTER_159,1,14,10000,0.07142857142857142,3,1.0,1.0
CLUSTER_16,1,6,2,0.16666666666666666,4,1.0,1.0
CLUSTER_160,1,14,2,0.07142857142857142,3,1.0,1.0
CLUSTER_161,2,61,3,0.03278688524590164,4,0.5,0.5
CLUSTER_162,2,12,7,0.16666666666666666,3,0.5,0.5
CLUSTER_163,2,34,4,0.058823529411764705,3,0.5,0.0
CLUSTER_164,1,11,7,0.09090909090909091,4,0.5,0.5
CLUSTER_165,1,9,10,0.1111111111111111,4,0.5,1.0
CLUSTER_166,2,149,9,0.013422818791946308,4,0.5,1.0
CLUSTER_167,1,8,13,0.125,3,1.0,1.0
CLUSTER_168,1,12,7,0.08333333333333333,3,1.0,1.0
CLUSTER_169,2,13,11,0.15384615384615385,3,0.5,1.0
CLUSTER_17,3,10,7,0.3,3,0.3333333333333333,1.0
CLUSTER_170,1,8,7,0.125,3,1.0,1.0
CLUSTER_171,1,10,10000,0.1,3,1.0,1.0
CLUSTER_172,2,14,6,0.14285714285714285,3,0.3333333333333333,0.5
CLUSTER_173,1,4,2,0.25,3,1.0,1.0
CLUSTER_174,1,11,7,0.09090909090909091,4,0.5,0.5
CLUSTER_175,1,5,10000,0.2,3,0.5,0.5
CLUSTER_176,1,23,3,0.043478260869565216,3,1.0,0.0
CLUSTER_177,1,4,10,0.25,3,0.5,1.0
CLUSTER_178,2,132,4,0.015151515151515152,3,0.3333333333333333,0.6666666666666666
CLUSTER_179,1,7,12,0.14285714285714285,3,1.0,1.0
CLUSTER_18,1,10,1,0.1,4,1.0,1.0
CLUSTER_180,1,11,6,0.09090909090909091,3,1.0,1.0
CLUSTER_181,1,9,8,0.1111111111111111,3,1.0,1.0
CLUSTER_182,2,10,1,0.2,3,0.5,0.5
CLUSTER_183,1,27,10000,0.037037037037037035,3,1.0,1.0
CLUSTER_184,1,9,6,0.1111111111111111,3,1.0,1.0
CLUSTER_185,1,6,1,0.16666666666666666,3,1.0,1.0
CLUSTER_186,2,4,6,0.5,3,0.3333333333333333,0.6666666666666666
CLUSTER_187,5,24,11,0.20833333333333334,3,0.2,0.625
CLUSTER_188,2,140,1,0.014285714285714285,3,0.5,1.0
CLUSTER_189,1,4,9,0.25,3,0.5,1.0
CLUSTER_19,2,9,5,0.2222222222222222,3,0.5,1.0
CLUSTER_190,1,5,4,0.2,4,1.0,1.0
CLUSTER_191,1,11,5,0.09090909090909091,3,1.0,0.0
CLUSTER_192,1,3,11,0.3333333333333333,3,1.0,1.0
CLUSTER_193,1,13,5,0.07692307692307693,3,1.0,1.0
CLUSTER_194,3,25,10,0.12,3,0.3333333333333333,1.0
CLUSTER_195,1,37,9,0.02702702702702703,4,1.0,1.0
CLUSTER_196,1,14,10000,0.07142857142857142,3,1.0,1.0
CLUSTER_197,3,24,3,0.125,3,0.25,0.6666666666666666
CLUSTER_198,1,8,1,0.125,3,1.0,1.0
CLUSTER_199,4,13,3,0.3076923076923077,4,0.2,0.8
CLUSTER_2,2,36,2,0.05555555555555555,3,0.5,0.5
CLUSTER_20,3,16,6,0.1875,3,0.3333333333333333,1.0
CLUSTER_200,1,17,11,0.058823529411764705,4,1.0,0.0
CLUSTER_201,1,3,0,0.3333333333333333,3,1.0,0.0
CLUSTER_202,1,1,9,1.0,4,0.5,1.0
CLUSTER_203,1,11,10,0.09090909090909091,3,1.0,1.0
CLUSTER_204,1,6,4,0.16666666666666666,4,1.0,1.0
CLUSTER_205,1,12,10,0.08333333333333333,3,1.0,1.0
CLUSTER_206,6,23,0,0.2608695652173913,3,0.16666666666666666,0.5
CLUSTER_207,2,10,2,0.2,3,0.3333333333333333,0.5
CLUSTER_208,2,4,6,0.5,3,0.75,1.0
CLUSTER_209,1,2,1,0.5,4,0.5,0.5
CLUSTER_21,3,66,3,0.045454545454545456,3,0.2,0.8
CLUSTER_210,1,1,1,1.0,4,1.0,0.0
CLUSTER_211,1,5,5,0.2,3,0.5,1.0
CLUSTER_212,1,1,2,1.0,3,1.0,0.0
CLUSTER_213,1,11,9,0.09090909090909091,3,1.0,1.0
CLUSTER_214,1,6,9,0.16666666666666666,3,1.0,1.0
CLUSTER_215,2,7,7,0.2857142857142857,3,0.5,0.5
CLUSTER_216,1,14,10000,0.07142857142857142,3,1.0,1.0
CLUSTER_217,2,11,1,0.18181818181818182,3,0.3333333333333333,0.5
CLUSTER_218,2,5,7,0.4,3,0.3333333333333333,1.0
CLUSTER_219,1,3,10000,0.3333333333333333,3,0.5,0.5
CLUSTER_22,2,15,1,0.13333333333333333,3,0.5,1.0
CLUSTER_220,1,12,3,0.08333333333333333,3,1.0,0.0
CLUSTER_221,1,47,1,0.02127659574468085,4,0.5,1.0
CLUSTER_222,1,23,1,0.043478260869565216,3,1.0,0.0
CLUSTER_223,1,9,8,0.1111111111111111,3,1.0,1.0
CLUSTER_224,1,12,2,0.08333333333333333,3,1.0,1.0
CLUSTER_225,2,20,5,0.1,3,0.5,1.0
CLUSTER_226,1,2,8,0.5,4,1.0,1.0
CLUSTER_227,1,11,10000,0.09090909090909091,3,1.0,1.0
CLUSTER_228,1,3,8,0.3333333333333333,3,1.0,1.0
CLUSTER_229,7,19,2,0.3684210526315789,3,0.1111111111111111,0.5
CLUSTER_23,4,10,8,0.4,3,0.2,0.8
CLUSTER_230,1,6,5,0.16666666666666666,3,1.0,0.0
CLUSTER_231,1,4,0,0.25,3,0.5,0.5
CLUSTER_232,1,6,3,0.16666666666666666,4,1.0,1.0
CLUSTER_233,2,9,3,0.2222222222222222,4,0.3333333333333333,0.6666666666666666
CLUSTER_234,1,7,7,0.14285714285714285,3,1.0,1.0
CLUSTER_235,1,34,1,0.029411764705882353,3,1.0,1.0
CLUSTER_236,3,10,8,0.3,3,0.3333333333333333,1.0
CLUSTER_237,1,8,10000,0.125,4,1.0,1.0
CLUSTER_238,2,13,1,0.15384615384615385,3,0.5,0.5
CLUSTER_239,1,21,11,0.047619047619047616,3,1.0,1.0
CLUSTER_24,1,2,0,0.5,3,0.5,0.5
CLUSTER_240,1,5,3,0.2,4,0.5,0.5
CLUSTER_241,2,13,7,0.15384615384615385,3,0.3333333333333333,0.5
